,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type,Course Names
11,The Fundamentals of Understanding Color Theory,7,https://99designs.com/blog/tips/the-7-step-guide-to-understanding-color-theory/,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/the-fundamentals-of-understanding-color-theory,Free,,Beginner,color-theory
12,Basic Color Schemes  - Introduction to Color Theory,1,http://www.tigercolor.com/color-lab/color-theory/color-theory-intro.htm,,,,Free,,Beginner,color-theory
13,10 Color Theory Basics Everyone Should Know,+1,http://freshome.com/2014/10/30/10-color-theory-basics-everyone-should-know/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/10-color-theory-basics-everyone-should-know,Free,,Beginner,color-theory
14,Basic Color Theory,+1,http://www.beginnersschool.com/2015/10/27/basic-color-theory/,,,,Free,,Beginner,color-theory
15,A virtual Crash Course in Design Thinking,8,https://dschool.stanford.edu/resources-collections/a-virtual-crash-course-in-design-thinking,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/a-virtual-crash-course-in-design-thinking,Free,Video,Beginner,design-thinking
16,Design Sprint Methodology,5,https://designsprintkit.withgoogle.com/methodology/overview,Parul,https://hackr.io/parul-bhargava-1,https://hackr.io/tutorial/design-sprint-methodology,Free,,Beginner,design-thinking
17,Design Thinking As a Strategy For Innovation,6,http://www.creativityatwork.com/design-thinking-strategy-for-innovation/,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/design-thinking-as-a-strategy-for-innovation,Free,Advanced,,design-thinking
18,Unlock Your Creativity With Design 101,3,http://share.trydesignlab.com/hackriodesign101,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/unlock-your-creativity-with-design-101,Paid,Beginner,Certification,design-thinking
19,Web Design for Everybody,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/web-design,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/web-design-for-everybody,Paid,Video,Beginner,design-thinking
20,Design Thinking: The Beginner's Guide,1,https://www.interaction-design.org/courses/design-thinking-the-beginner-s-guide,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/design-thinking-the-beginners-guide,Paid,Video,Advanced,design-thinking
21,Design Thinking for Innovation,+1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/uva-darden-design-thinking-innovation,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/design-thinking-for-innovation,Free,Video,Beginner,design-thinking
22,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,+1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/design-strategy,Kevin,https://hackr.io/kevin-yamato,https://hackr.io/tutorial/design-led-strategy-design-thinking-for-business-strategy-and-entrepreneurship,Paid,Video,Advanced,design-thinking
23,5 Stages in Design Thinking Process,+1,https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinking-process,,,,Free,,Beginner,design-thinking
24,Drawing Lesson For Beginners,+1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/drawing-lesson-for-beginners,Eric,https://hackr.io/eric-bossik,https://hackr.io/tutorial/drawing-lesson-for-beginners,Paid,Video,Beginner,drawing
